Unnamed: 0;ID_hecho;FECHA;AAAA;MM;DD;ROL;VICTIMA;SEXO;EDAD
482;2019-0046;2019-06-04;2019;6;4;PASAJERO_ACOMPAÑANTE;MOTO;FEMENINO;26.0
483;2019-0047;2019-06-06;2019;6;6;PEATON;PEATON;MASCULINO;76.0
484;2019-0048;2019-06-07;2019;6;7;CONDUCTOR;MOTO;MASCULINO;32.0
485;2019-0049;2019-06-08;2019;6;8;PEATON;PEATON;FEMENINO;72.0
486;2019-0050;2019-06-08;2019;6;8;CONDUCTOR;MOTO;MASCULINO;21.0
487;2019-0051;2019-06-11;2019;6;11;CONDUCTOR;MOTO;MASCULINO;41.0
488;2019-0053;2019-06-14;2019;6;14;PASAJERO_ACOMPAÑANTE;AUTO;MASCULINO;49.0
489;2019-0054;2019-06-20;2019;6;20;CONDUCTOR;MOTO;MASCULINO;21.0
490;2019-0055;2019-06-20;2019;6;20;CONDUCTOR;MOTO;MASCULINO;47.0
491;2019-0056;2019-06-29;2019;6;29;PEATON;PEATON;FEMENINO;75.0
492;2019-0057;2019-07-05;2019;7;5;PEATON;PEATON;FEMENINO;63.0
493;2019-0058;2019-07-10;2019;7;10;CONDUCTOR;MOTO;MASCULINO;39.0
494;2019-0059;2019-07-13;2019;7;13;CONDUCTOR;MOTO;MASCULINO;30.0
495;2019-0060;2019-07-17;2019;7;17;PEATON;PEATON;FEMENINO;78.0
496;2019-0061;2019-07-17;2019;7;17;PEATON;PEATON;FEMENINO;58.0
497;2019-0062;2019-08-01;2019;8;1;PEATON;PEATON;FEMENINO;60.0
498;2019-0063;2019-08-04;2019;8;4;PASAJERO_ACOMPAÑANTE;MOTO;MASCULINO;42.0
499;2019-0064;2019-08-06;2019;8;6;CONDUCTOR;MOTO;MASCULINO;20.0
500;2019-0065;2019-08-08;2019;8;8;PEATON;PEATON;FEMENINO;55.0
501;2019-0066;2019-08-11;2019;8;11;PEATON;PEATON;MASCULINO;40.0
502;2019-0067;2019-08-14;2019;8;14;CONDUCTOR;MOTO;MASCULINO;35.0
503;2019-0068;2019-08-14;2019;8;14;CONDUCTOR;MOTO;MASCULINO;53.0
504;2019-0069;2019-08-17;2019;8;17;CONDUCTOR;MOTO;MASCULINO;43.0
505;2019-0070;2019-08-22;2019;8;22;CONDUCTOR;MOTO;MASCULINO;25.0
506;2019-0071;2019-08-27;2019;8;27;PEATON;PEATON;MASCULINO;42.0
507;2019-0072;2019-08-28;2019;8;28;CONDUCTOR;AUTO;MASCULINO;22.0
508;2019-0073;2019-08-29;2019;8;29;CONDUCTOR;AUTO;MASCULINO;29.0
509;2019-0074;2019-08-29;2019;8;29;CONDUCTOR;MOTO;MASCULINO;35.0
510;2019-0075;2019-08-30;2019;8;30;CONDUCTOR;MOTO;MASCULINO;31.0
511;2019-0076;2019-09-05;2019;9;5;CONDUCTOR;MOTO;FEMENINO;29.0
512;2019-0077;2019-09-08;2019;9;8;PEATON;PEATON;FEMENINO;28.0
513;2019-0078;2019-09-12;2019;9;12;PEATON;PEATON;FEMENINO;72.0
514;2019-0079;2019-09-17;2019;9;17;CONDUCTOR;MOTO;MASCULINO;57.0
515;2019-0080;2019-09-17;2019;9;17;PEATON;PEATON;MASCULINO;76.0
516;2019-0081;2019-09-23;2019;9;23;PEATON;PEATON;MASCULINO;67.0
517;2019-0082;2019-09-25;2019;9;25;CICLISTA;BICICLETA;MASCULINO;47.0
518;2019-0083;2019-09-26;2019;9;26;CONDUCTOR;AUTO;MASCULINO;73.0
519;2019-0084;2019-09-27;2019;9;27;CICLISTA;BICICLETA;FEMENINO;40.0
520;2019-0085;2019-10-09;2019;10;9;CICLISTA;BICICLETA;MASCULINO;20.0
521;2019-0086;2019-10-15;2019;10;15;CONDUCTOR;MOTO;MASCULINO;29.0
522;2019-0087;2019-10-21;2019;10;21;CONDUCTOR;MOTO;MASCULINO;41.0
523;2019-0088;2019-10-22;2019;10;22;PEATON;PEATON;MASCULINO;27.0
524;2019-0089;2019-10-23;2019;10;23;PEATON;PEATON;FEMENINO;92.0
525;2019-0090;2019-10-24;2019;10;24;PEATON;PEATON;MASCULINO;67.0
526;2019-0091;2019-11-01;2019;11;1;PEATON;PEATON;MASCULINO;35.0
527;2019-0092;2019-11-03;2019;11;3;PEATON;PEATON;MASCULINO;37.0
528;2019-0093;2019-11-13;2019;11;13;CICLISTA;BICICLETA;MASCULINO;16.0
529;2019-0094;2019-11-18;2019;11;18;PASAJERO_ACOMPAÑANTE;MOTO;FEMENINO;42.0
530;2019-0095;2019-11-20;2019;11;20;CONDUCTOR;MOTO;MASCULINO;42.0
531;2019-0096;2019-11-22;2019;11;22;PEATON;PEATON;MASCULINO;73.0
532;2019-0097;2019-11-25;2019;11;25;PASAJERO_ACOMPAÑANTE;MOTO;FEMENINO;23.0
533;2019-0098;2019-11-25;2019;11;25;PASAJERO_ACOMPAÑANTE;PASAJEROS;FEMENINO;61.0
534;2019-0100;2019-12-05;2019;12;5;CONDUCTOR;MOTO;MASCULINO;38.0
535;2019-0101;2019-12-17;2019;12;17;CONDUCTOR;MOTO;MASCULINO;25.0
536;2019-0102;2019-12-17;2019;12;17;CONDUCTOR;MOTO;MASCULINO;18.0
537;2019-0103;2019-12-18;2019;12;18;CONDUCTOR;MOTO;MASCULINO;24.0
538;2019-0104;2019-12-21;2019;12;21;PASAJERO_ACOMPAÑANTE;MOTO;FEMENINO;23.0
539;2020-0001;2020-01-04;2020;1;4;PEATON;PEATON;FEMENINO;87.0
540;2020-0002;2020-01-05;2020;1;5;CONDUCTOR;MOTO;MASCULINO;36.0
541;2020-0003;2020-01-11;2020;1;11;PEATON;PEATON;MASCULINO;44.0
542;2020-0004;2020-01-14;2020;1;14;PEATON;PEATON;MASCULINO;82.0
543;2020-0005;2020-01-14;2020;1;14;CONDUCTOR;MOTO;MASCULINO;25.0
544;2020-0006;2020-01-20;2020;1;20;CONDUCTOR;MOTO;MASCULINO;23.0
545;2020-0007;2020-01-27;2020;1;27;PEATON;PEATON;MASCULINO;52.0
546;2020-0008;2020-01-30;2020;1;30;CONDUCTOR;MOTO;MASCULINO;49.0
547;2020-0009;2020-02-04;2020;2;4;PEATON;PEATON;MASCULINO;48.0
548;2020-0010;2020-02-08;2020;2;8;CONDUCTOR;MOTO;MASCULINO;42.0
549;2020-0011;2020-02-12;2020;2;12;CONDUCTOR;MOTO;MASCULINO;31.0
550;2020-0012;2020-02-18;2020;2;18;PEATON;PEATON;FEMENINO;66.0
551;2020-0013;2020-02-20;2020;2;20;PEATON;PEATON;FEMENINO;58.0
552;2020-0014;2020-02-27;2020;2;27;CONDUCTOR;MOTO;MASCULINO;42.0
553;2020-0015;2020-02-28;2020;2;28;CONDUCTOR;MOTO;MASCULINO;29.0
554;2020-0016;2020-02-29;2020;2;29;PEATON;PEATON;MASCULINO;68.0
555;2020-0017;2020-03-05;2020;3;5;PEATON;PEATON;MASCULINO;42.0
556;2020-0018;2020-03-09;2020;3;9;CONDUCTOR;MOTO;MASCULINO;31.0
557;2020-0019;2020-03-10;2020;3;10;PEATON;PEATON;FEMENINO;80.0
558;2020-0020;2020-03-13;2020;3;13;PEATON;PEATON;FEMENINO;74.0
559;2020-0021;2020-03-14;2020;3;14;PEATON;PEATON;FEMENINO;87.0
560;2020-0022;2020-04-07;2020;4;7;PASAJERO_ACOMPAÑANTE;AUTO;MASCULINO;44.0
561;2020-0023;2020-04-09;2020;4;9;CONDUCTOR;AUTO;MASCULINO;44.0
562;2020-0024;2020-04-24;2020;4;24;CONDUCTOR;AUTO;MASCULINO;53.0
563;2020-0025;2020-05-12;2020;5;12;PEATON;PEATON;MASCULINO;42.0
564;2020-0026;2020-05-17;2020;5;17;CONDUCTOR;MOTO;MASCULINO;28.0
565;2020-0027;2020-05-18;2020;5;18;PEATON;PEATON;MASCULINO;76.0
566;2020-0028;2020-05-19;2020;5;19;PEATON;PEATON;MASCULINO;91.0
567;2020-0029;2020-06-10;2020;6;10;PEATON;PEATON;MASCULINO;80.0
568;2020-0030;2020-06-16;2020;6;16;CONDUCTOR;MOTO;MASCULINO;40.0
569;2020-0031;2020-06-30;2020;6;30;CONDUCTOR;MOTO;MASCULINO;29.0
570;2020-0032;2020-07-10;2020;7;10;CONDUCTOR;MOTO;MASCULINO;21.0
571;2020-0033;2020-07-19;2020;7;19;CONDUCTOR;AUTO;MASCULINO;32.0
572;2020-0034;2020-08-02;2020;8;2;PEATON;PEATON;FEMENINO;42.0
573;2020-0035;2020-08-04;2020;8;4;CONDUCTOR;MOTO;MASCULINO;40.0
574;2020-0036;2020-08-07;2020;8;7;PEATON;PEATON;MASCULINO;72.0
575;2020-0037;2020-08-29;2020;8;29;PEATON;PEATON;MASCULINO;38.0
576;2020-0038;2020-08-30;2020;8;30;CONDUCTOR;AUTO;MASCULINO;46.0
577;2020-0038;2020-08-30;2020;8;30;CONDUCTOR;AUTO;MASCULINO;64.0
578;2020-0039;2020-09-01;2020;9;1;PEATON;PEATON;MASCULINO;44.0
579;2020-0040;2020-09-12;2020;9;12;CONDUCTOR;AUTO;MASCULINO;42.0
580;2020-0041;2020-09-28;2020;9;28;CONDUCTOR;MOTO;MASCULINO;34.0
581;2020-0042;2020-09-29;2020;9;29;PEATON;PEATON;FEMENINO;53.0
582;2020-0043;2020-09-30;2020;9;30;PEATON;PEATON;MASCULINO;64.0
583;2020-0044;2020-10-05;2020;10;5;CONDUCTOR;AUTO;MASCULINO;43.0
584;2020-0045;2020-10-19;2020;10;19;CONDUCTOR;AUTO;MASCULINO;50.0
585;2020-0046;2020-10-27;2020;10;27;CONDUCTOR;MOTO;MASCULINO;41.0
586;2020-0047;2020-10-27;2020;10;27;PEATON;PEATON;MASCULINO;15.0
587;2020-0048;2020-10-29;2020;10;29;CONDUCTOR;MOTO;MASCULINO;41.0
588;2020-0049;2020-10-30;2020;10;30;PEATON;PEATON;MASCULINO;36.0
589;2020-0050;2020-11-01;2020;11;1;PEATON;PEATON;FEMENINO;28.0
590;2020-0051;2020-11-05;2020;11;5;CONDUCTOR;MOTO;MASCULINO;49.0
591;2020-0052;2020-11-07;2020;11;7;CICLISTA;BICICLETA;MASCULINO;44.0
592;2020-0053;2020-11-09;2020;11;9;PASAJERO_ACOMPAÑANTE;AUTO;MASCULINO;27.0
593;2020-0054;2020-11-19;2020;11;19;CICLISTA;BICICLETA;MASCULINO;59.0
594;2020-0055;2020-11-19;2020;11;19;PEATON;PEATON;MASCULINO;91.0
595;2020-0056;2020-11-21;2020;11;21;CONDUCTOR;MOTO;FEMENINO;34.0
596;2020-0057;2020-11-23;2020;11;23;PEATON;PEATON;MASCULINO;84.0
597;2020-0058;2020-11-24;2020;11;24;PEATON;PEATON;MASCULINO;57.0
598;2020-0059;2020-12-01;2020;12;1;PEATON;PEATON;FEMENINO;49.0
599;2020-0060;2020-12-03;2020;12;3;PEATON;PEATON;FEMENINO;69.0
600;2020-0061;2020-12-03;2020;12;3;CONDUCTOR;MOTO;MASCULINO;45.0
601;2020-0062;2020-12-04;2020;12;4;CICLISTA;BICICLETA;MASCULINO;47.0
602;2020-0063;2020-12-05;2020;12;5;PEATON;PEATON;MASCULINO;38.0
603;2020-0063;2020-12-05;2020;12;5;PASAJERO_ACOMPAÑANTE;MOTO;MASCULINO;21.0
604;2020-0065;2020-12-05;2020;12;5;CONDUCTOR;MOTO;MASCULINO;24.0
605;2020-0066;2020-12-07;2020;12;7;CONDUCTOR;MOTO;MASCULINO;27.0
606;2020-0067;2020-12-11;2020;12;11;PEATON;PEATON;MASCULINO;51.0
607;2020-0068;2020-12-12;2020;12;12;CONDUCTOR;MOTO;MASCULINO;71.0
608;2020-0069;2020-12-15;2020;12;15;PASAJERO_ACOMPAÑANTE;MOTO;MASCULINO;25.0
609;2020-0070;2020-12-17;2020;12;17;PEATON;PEATON;FEMENINO;81.0
610;2020-0071;2020-12-17;2020;12;17;PEATON;PEATON;MASCULINO;4.0
611;2020-0072;2020-12-19;2020;12;19;CICLISTA;BICICLETA;MASCULINO;42.0
612;2020-0073;2020-12-20;2020;12;20;CONDUCTOR;MOTO;MASCULINO;56.0
613;2020-0074;2020-12-20;2020;12;20;CONDUCTOR;AUTO;MASCULINO;39.0
614;2020-0075;2020-12-23;2020;12;23;PEATON;PEATON;MASCULINO;23.0
615;2020-0076;2020-12-24;2020;12;24;CONDUCTOR;AUTO;FEMENINO;78.0
616;2020-0077;2020-12-25;2020;12;25;CONDUCTOR;MOTO;FEMENINO;30.0
617;2020-0077;2020-12-25;2020;12;25;PASAJERO_ACOMPAÑANTE;MOTO;FEMENINO;24.0
618;2020-0078;2020-12-25;2020;12;25;CICLISTA;BICICLETA;MASCULINO;26.0
619;2020-0079;2020-12-27;2020;12;27;CONDUCTOR;MOTO;MASCULINO;28.0
620;2021-0001;2021-01-06;2021;1;6;CONDUCTOR;MOTO;MASCULINO;36.0
621;2021-0002;2021-01-07;2021;1;7;CONDUCTOR;MOTO;FEMENINO;47.0
622;2021-0003;2021-01-10;2021;1;10;CONDUCTOR;MOTO;MASCULINO;27.0
623;2021-0004;2021-01-11;2021;1;11;PEATON;PEATON;FEMENINO;61.0
624;2021-0005;2021-01-11;2021;1;11;PEATON;PEATON;MASCULINO;73.0
625;2021-0006;2021-01-12;2021;1;12;PASAJERO_ACOMPAÑANTE;MOTO;FEMENINO;23.0
626;2021-0007;2021-01-18;2021;1;18;CONDUCTOR;MOTO;MASCULINO;84.0
627;2021-0008;2021-01-22;2021;1;22;PEATON;PEATON;MASCULINO;28.0
